Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
77.30729150772095,1.0,0.0,-4.41074e-11,-5.39166e-07,1,0
77.84704995155334,1.0,0.0,-5.126e-11,-4.86525e-07,1,0
78.38757514953613,1.0,0.0,-3.93391e-11,-6.09345e-07,1,0
78.92717432975769,1.0,0.0,-2.86102e-11,-6.31841e-07,1,0
79.46686363220215,1.0,0.0,-3.69549e-11,-6.9627e-07,1,0
80.0084822177887,1.0,1.0,7.4836e-08,-5.26435e-07,1,0
80.55011940002441,1.0,1.0,7.37417e-08,-5.94425e-07,1,0
81.09216690063477,1.0,1.0,7.38609e-08,-7.16549e-07,1,1
81.63378667831421,1.0,1.0,9.00471e-08,-6.24529e-07,1,1
82.17534232139587,1.0,1.0,9.63163e-08,-5.42805e-07,1,1
82.7169451713562,1.0,1.0,9.80949e-08,-5.70578e-07,1,1
83.25858449935913,1.0,1.0,1.00465e-07,-5.62464e-07,1,1
83.8007140159607,1.0,1.0,1.03245e-07,-5.26185e-07,1,1
84.3422520160675,1.0,1.0,1.04589e-07,-7.22951e-07,1,0
84.88389325141907,1.0,1.0,9.86755e-08,-6.15114e-07,1,0
85.42545557022095,1.0,1.0,9.42278e-08,-5.15542e-07,1,0
85.96704602241516,1.0,1.0,8.92937e-08,-4.33569e-07,1,0
86.50865507125854,1.0,1.0,8.68857e-08,-6.09645e-07,1,0
87.05036640167236,1.0,1.0,8.52215e-08,-5.75428e-07,1,0
87.59196329116821,1.0,1.0,8.31902e-08,-5.91398e-07,1,0
88.13361477851868,1.0,1.0,8.1594e-08,-5.84617e-07,1,0
88.67526030540466,1.0,1.0,8.04114e-08,-5.1021e-07,1,0
89.21685814857483,1.0,1.0,7.9906e-08,-6.17448e-07,1,0
89.75849723815918,1.0,1.0,7.9267e-08,-5.77857e-07,1,0
90.300053358078,1.0,1.0,7.79521e-08,-5.0038e-07,1,0
90.8396589756012,1.0,0.0,-3.45707e-11,-5.9144e-07,1,0
91.37917160987854,1.0,0.0,-3.33786e-11,-4.89408e-07,1,0
91.91886162757874,1.0,0.0,-3.69549e-11,-4.56703e-07,1,0
92.45855736732483,1.0,0.0,-2.38419e-11,-6.30222e-07,1,0
92.9981997013092,1.0,0.0,-4.17232e-11,-7.26073e-07,1,0
